id,title,content,author,date,mood,likes,is_liked,comments,created_at,liked_by
03cf5851-78f6-4ffc-b7aa-874f4c4b655e,Зашей мне рот ниточками молю,"Пишу текст , И параллельно решил зайти в пинтерест , Аватарки поискать. И не знаю , Вызвало опять чувство побега , Просто закрыл как стал видеть что не хочу. Любое пространство в интернете за пару минут позволяет мне понять что находится мне так некомфортно. Открывая тикток , Полураздетые девушки , Открываю пинтерест , Постоянно фоточки в шортиках с открытым торсом , И т.д. В целом парадоксально получается

Из-за повышенного тестостерона + Сублимацией агрессии - Я хочу этого куда больше чем обычный процент парней , Но дело в том , Что не хочу хотеть вообще. Зачем мне хотеть незнакомую мне диву , Думать о ней , Или постоянно фантазировать о знакомой. Какое это отношения имеет к сути моего существование , К моему развитию , К творчеству коему горю . Какой раз убеждаюсь что похоть только разрушает , От нее нет никакой пользы. 

Я ничего не имею против близости рядом с своей девочкой , Когда этот процесс приносит удовольствие обоим людям , Когда оба партнера заслужили то наслаждения что получат рядом с друг другом. Ну а трахаться как кролики по десять раз на день , И лежать после на диване попивая пиво симпсонов смотря - Для меня это мерзко , Я так не хочу , Паразитство такое. От мужчин противно , Секс есть удовольствия , И кроме как удовлетворяться ничего не хотят. Их не тянет к великому , Достижениям , Гордости , Лишь бы испытать вот это чувство мимолетного всплеска эмоций , Простонать ее имя , И через секунду понять что и не нужно тебе это было вовсе.

И мной движет это чувство , Вот и пишу о нем. Пишу о наболевшем , Кто о чем кричит , У того то и болит )) Рад что хватает чести не склонять тебя к чему-то , Но эти утренние или ночные порывы моей любви , Сопровождаются именно этим чувством , Близости и тепла. Прошлым утром написал целый манифест лишь бы только знала что меня заводит , А дня три назад по балке ходил так и пытаясь вывести на раскрепощенные темы. Разве это мое желание ? Конечно нет , Я против любого удовольствия которое я могу получить , Ведь оно должно быть заслуженно. Мы можем говорить о праве человека быть счастливым и без целенаправленных действий , Но хочешь ли ты парня , Что бегает за юбками в любой свободный момент и заводится от любого шороха ? Парня , Что из-за постоянного удовольствия и твоего милосердия , Ничего не делает , Оправдывая все тем как не повезло ? 

Вопрос ради вопроса. Сегодня десятое число , Это 400+ попытка бросить , Но отчаяние у меня нет. Лишь гордость , Что не сдаюсь и меняю ракурсы. Я верю , Что избавив свою жизнь от любого желания , Я обрету стабильность в своем состоянии , Перестану бегать из состояния в состояния , И продуктивность вырастет в раз сто. Я люблю тебя , И правда , Хочу становится идеальнее , Настолько насколько это возможно. Не знаю стоит ли вести отсчет новый , Ааххахахах , Но вот , Оповещаю , Без любой похоти.

Ты сказала мне , Помню , Что конечно , Бросать полностью такое глупо. Физиология все дела.. Но это подпитывает , Если не отказываешься полностью. Сначала так , Потом так , А потом оказываешься там от чего бежал. И будто ничего и не было. Противно мне так , Не хочу. Хочу во снах , Хочу с тобой , Но точно не на едине с самим с собой не в своей квартире ничего не имея , Знаю что за пару тысяч км есть котеночек которому я всем обязан. Так что скрещиваем пальчики и верим в мою реабилитацию. В качестве рычага стыда , Хочу поставить тебя )) Небольшой капкан для самого себя

Сознался в тебе - Оповестил. Сорвусь , Покажусь безвольным в твоих глазах - Страх потерять тебя , Твое доверие. Любое желание будет ассоциироваться с страхом потери тебя. Желания с временем станет не приятным способом , А страхом неприятие от тебя и потери , Так что буду ежедневно писать в конце дня в пару строках что и как. Без лжи и стыда , Нет так нет , Да так да , Раз беру ответственность и принимаю решение. 

Еслиии чтооо я нее такооойй серьезныйй а то слегка перечиталл оо божее брутаалитии я как в турецких фильмаах лоол !! Ну вот так Полинка , В первую очередь ты для меня милая девочка которая мне интересна и приятна , А не обьеккт какоойто для желанийй.. Знаеешь зайкаа я правда сужу по себе и поэтому говорю и делаю что мне бы лично слышать было приятно !! Вообщем , Моглооо показаться что где-то ты мне не нравишься , Я правдаа много думал об этом и пришел что с какой тт стороны кажется именно так бляяять молл охх полиночкаа нее кидаай мне ручкии ножкии внешностььь лоооооооооооооол

Но боже.. Кис я когда вижу тебя у меня дыхание перехватывает серьезно , Правда , Одни твои джинсы кроссовки пока ты мне снимаешь котиков , Не то что твоя миловидная внешность. И далее я думать не о чем другом уже не хочу , И просто не могу , Кровь не циркулирует и я залипаю. Я не знаю сколько я после видеосообещния твоего отходил , Правда , Или даже когда ты умничка пишешь , Или люблю тебя , Рефлекс срабатывает на нежность и это состояния. А яяя бляяять хочуу не счастливым сидеть и течь расплываться как девоочкаа а раааботтаать учиться чтобы ты гордилась мной тем чего я достигаю для тебя для нас что делаю блять а не наслаждаться твоей внешностью сидеть.

Вот будешь рядом зайка буду наслаждаться а так ну я рееально уебок какой то получается что так буду делатьь. Тааак что бляяять умоляю не думай что с тобой что то не так или еще что то если вдруг могло такое показаться. Я от тебя без ума , От носика твоего глаз щечек лобика зай со всего ты мне вся целиком с головы до ноожеек дико нравишься , Настолько что не могуу даже смотреть без эффектов таких потомм. Так что вот все я жестко планируууюю детоккссс ничего такого да буду нервничать будут наплывы апатии да и реально пусть главное не буду подаваться искушению и докажу себе что могу бляять что то вообще первым шагом. Если ты курить мне помогла бросить то и с этим вместе с тобой у меня все полуучиттсяя ты мой амулет рунаа !! Всеее отстань я спать люблюю тебяя",Grinch,10 июня 2026 г. в 06:45:46,🌿,1,false,"[{""id"":1781063139670,""date"":""06:45:39"",""text"":""Хорошо, Карим, давай, делаем😃"",""author"":""Cindy""},{""id"":1781063157938,""date"":""06:45:57"",""text"":""Да, у тебя все получится"",""author"":""Cindy""}]",2026-06-10 01:45:46.870302+00,"[""Cindy""]"
08721871-9c8a-4c39-8e5a-6084daa5080b,Боже упаси господи от ее мемов,"ЯЯ встал в 15, потому что кто то заставил лечь в 9
Я собрался, поел, и пробездельничал весь день. За то узнал что если будут хоронить то за плинтусом, и что если и ходить с словом божьим - То не к парню в очках.

 А еще ой ах ммм нуу ойй",Grinch,17 мая 2026 г.,🥧,1,false,"[{""id"":1779018751987,""date"":""14:52"",""text"":""Ой ммммм... Блин Ммм... Нуууу"",""author"":""Cindy""}]",2026-05-17 02:03:49.167463+00,"[""Cindy""]"
14f3fc1b-2e76-4895-b237-ff7d58abeac3,-Почему ты выбрал именно меня?,"-Когда на закрытой тусовке в Москве кто-то сказал: «Посмотрите, сколько тут звёзд» — ты была единственной, кто посмотрел на небо



Вчера легла в 11:20, час пролежала, уснуть не могла)) 

Чего то проснулась сегодня в 5, легла потом спать обратно, в 7 встала, тяжеловато было, но ладно.

(10:08)
С утра все раздражает, и даже яндекс музыка блять без впн не работает, пиздец просто, а мне опять все сервера отключили)) Пью воду с лимоном, щас включу песни если, буду учить французский, два часа есть.
Всё уже не раздражает, потом впн найду ыыыы.(Карим мне все нашёл 😛💅) 

(16:00)
Я еду домооой, сначала расстроилась, что у меня даже полуавтомата нет по крр, но в итоге это оказалось из за посещаемости. Я сказала ей, что болела и справка есть, вот, она мне поставила. Буду только теорию сдавать, без практики😛
Качу домой.

(1:48)
Все Карим ушёл спать, ну я щас тоже пойду. Я проходила тесты хахаха, я завтра буду проходить на тип личности, самый популярный который. Проходила уже несколько раз его давнооо, вот.
Пиши мне утроооом, мне нравитсяя


18.06.2026 3:50

30 день!!!! Одаа, юбилей?? Я очень горжусь тобой и ценююю. У тебя все получится, обязательно, с чем угодноо😛 л
Если не получится, будем вместе плакать. Все, я жду гитару, слушать буду. И друга своего не скинул, ну и мне не особо надо смотреть на него🤓 
Люблю тебя очень, спокойной ночи, доброе утроо",Cindy,18 июня 2026 г. в 02:03:53,❤️,0,false,"[{""id"":1781770017128,""date"":""13:06:57"",""text"":""Доброе утро.. И я тебя невероятно люблю.."",""author"":""Grinch""}]",2026-06-17 23:03:53.51873+00,[]
1642a18c-784d-4c28-b46b-a54d17fa05fd,Зеваю,"Ну встала я в 7 с чем то, без будильника уже, он стоял на 8.
Родители собирались, потом уехали

Ну я начала историю смотреть, начала засыпать, ну на кресле решила поспать. Вот это рассказала но короче, щас ещё дополню, я вспомнила. Я засыпала под музыку, мелодии да. Закрываю глаза, сначала все нормально я сама себе че то представляю, а когда уже начинаю погружаться в сон у меня в голове играет музыка(другая) и перед глазами появляется скарабей, вот так вот глазками на весь экран😕
Когда я резко открываю глаза, происходит обрыв музыки и снова так, ну да  было странно

И кстати насчёт фантазировать, мечтать я хуею, у меня реально не получается. Я вчера решила вот в 23-23:30 лечь только для этого, так как спать не хотела, а не получилось😭😭
Я начала думать что то, и у меня в голове то история(инфа какая то, что смотрела), то нет, а потом просто засыпаю, очень быстро. В этом вся проблема. Ну вообще не сказать , что это проблема)) но обидненько

Вот завтра днем поеду к врачу насчёт таблеток, потом готовить надо🙄
И опять история история и французский. Может щас что поучу из текстов, хотя бы половину, вооот.

Ты сегодня был немного забавный)) я не издеваюююсь, общался просто так, интересно)

Мне так гулять ещё хочется, вечером, в 9 вечера ещё так светло, классноооо

Так, ну я вообще надеюсь, что мне что то приснится сегодняяяяя

Всее, давай, спокойной ночи
Ну аааа доброе утро)",Cindy,13 июня 2026 г. в 02:07:32,🌿,2,false,"[{""id"":1781420851399,""date"":""12:07:31"",""text"":""Теперь ответил"",""author"":""Grinch""}]",2026-06-12 23:07:33.6488+00,"[""Cindy"",""Grinch""]"
18df3b7e-0c65-45d8-aed3-468bdc9c28d2,Не ну так так-то у нас пацаны тоже хорошие не ну а че,"Играю в мемы с создателем мемов блять

Журнальчик привет !! 5 39 - Умоюсь , Налью водички , Порежу лайма , Одену на ушники лицо обработаюю и сразу за учебууууу одаааааа я прямм вижу как смотрю на время а то как в эдитах типо 21523 523 543 64362 352 352  летит вот так и я в быстрой сьемке загадочный

Никакой саморефликсии тут не будет , Теперь только действия !! В конце дня отчитаюсь И НЕ ДАЙ БОГ ТАМ БУДЕТ 1-2 ДЕЛА СДЕЛАНО ХОРОШО ПОДУМАЙ НАСЧЕТ МОЕЙ КАНДИДАТУРЫ !!!!!!",Grinch,28 мая 2026 г.,🌿,1,false,"[{""id"":1779941183682,""date"":""07:06"",""text"":""Будет 1 дело сделано:поспал"",""author"":""Cindy""},{""id"":1780004737263,""date"":""02:45:37"",""text"":""ты оказалась права,как всегда"",""author"":""Grinch"",""replyTo"":{""id"":1779941183682,""text"":""Будет 1 дело сделано:поспал"",""author"":""Cindy""}},{""id"":1780004801789,""date"":""00:46:41"",""text"":""нет"",""author"":""Cindy"",""replyTo"":{""id"":1780004737263,""text"":""ты оказалась права,как всегда"",""author"":""Grinch""}}]",2026-05-28 00:42:24.562157+00,"[""Cindy""]"
194ad6ac-88d5-402c-ba1a-06e47784cc56,Постойте... Мы тоже умеем бегать,"Когда нибудь я начну писвть тут что нибудь интересное, наверное. Летом!!!

Я выучила 3 страницы, пересказала, перечитала, я зеваю, я спать. Сейчас 2:32 (по твоему)

Вот, ну
28.05.2026 2:39
9 день! Горжусь, ура, делвем дальше - больше. Все кайф, ценю тебя, даже когда пишу, что ты достааал",Cindy,28 мая 2026 г.,🧸,2,false,"[{""id"":1779927917967,""date"":""05:25"",""text"":""почему в 00 00 полечка.."",""author"":""Grinch""},{""id"":1779928117839,""date"":""05:28"",""text"":""спасибо большое !!"",""author"":""Grinch""},{""id"":1779928132607,""date"":""05:28"",""text"":""что зеваешь !"",""author"":""Grinch""},{""id"":1779928144903,""date"":""05:29"",""text"":""м за спать !"",""author"":""Grinch""},{""id"":1779928153103,""date"":""05:29"",""text"":""и за горжусь.."",""author"":""Grinch""},{""id"":1779928157527,""date"":""05:29"",""text"":""за все !!"",""author"":""Grinch""},{""id"":1779928980032,""date"":""05:43"",""text"":""ТЫ ПИШЕШЬ ИНТЕРЕСНО ЧОКНУТАЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯЯ"",""author"":""Grinch""},{""id"":1779928991816,""date"":""05:43"",""text"":""ОЙ БЛЯТЬ КУДА ВЫШЛА БУКВА Я ЧТО ЗА БАГИ"",""author"":""Grinch""},{""id"":1779929049944,""date"":""05:44"",""text"":""АААХХАХАХАХАХ ХОЧЕШЬ ШУТКУ - У МОЕГО Я НЕТ ГРАНИЦ АХАХАХХА"",""author"":""Grinch""},{""id"":1779941116745,""date"":""07:05"",""text"":""Ты безграничный"",""author"":""Cindy""}]",2026-05-27 21:36:13.022023+00,"[""Grinch"",""Cindy""]"
22a70631-86a4-48f1-b1a4-037f43884e70,Я хотябы не....,"Доброе утро , лапонька !! Напишу одним сообщением чтобы не будить , а то может уведы стоят..

Проснулся из-за того что руки чешутся в прямом смысле , вот ведь незадача !!

Смотрю , а тут укусов 5-6 , ненасытный комар, какая-то дикая лажа 🙄

Спирта взял , хоть в чем-то он полезен для тела !!

Кстатиии раньшее я даже и руки мазать им не хотел , боялся деструктивного плена..

Думал что он в кожу впитывается , алкоголь в организм попадает и будет беда , Терпел , страдал и мучился тогда 😭

Вообщем наверноееее точнооо спать уже не лягуу блиин..

Умоюсь и если глазки болеть не будут сильно , то в медитацию мягко отрину ,

И сядуу за дело какое-то , созидать свою и твою картину ))

Давно так рано не вставал , если честно , ощущение очень приятное , экзистенциально крутое. И люблю тебя по утрам куда больше , это чувство живое , святое.. Так заботиться хочу о тебе пока ты спишь , оберегать твой покой и границы , И физически и ментально , перелистывая наших судеб страницы..

Подумал что лучше в журнальчик напишу , сохраню этот ментальный поток !! Все таки если стоят уведы , то и 1 сообщения разбудить может , нарушив сна твоего островок !!

В планах на сегодня вооооот чтооо , выводы тоже ночные , когда ложился , думал много о чем.. Рефлексирую перед сном последние 3 дня блин и забываю на утро , все утекает ручьем.

Я нашел интересный подход , личный базис , концепт для себя ,

И тебя , если понравится , если примешь его ты , любяяя

Я перестал видеть смысл любой деструктивной ревности и драмы..

Обьясню на 3 пунктах , без лишней цензуры и рекламы !!!

Адекватность и внутренний ценз. Есть рамки всего вон выходящего , четкий барьер. Короткие юбки , открытые ножки , декольте , я не считаю плохим , если это нормальные места , примерный интерьер.

Если это клубы и притоны , если это флирт с парнями , телесные прикосновения и ласки , То тут и обьяснять никому не надо , что это не нормально , это срывает маски.

Если это приходится обьяснять  - ну значит девочка просто этого хочет , ищет латентный мотив , И мне с такой не по пути , будет неспокойно , неприятно и сплошной негатив.

Есть базовые правила , которые доступны и не доступны , консенсус простой. Не нужно запрещать ничего человеку , ведь адекватный сам поймет базовые вещи и сохранит твой покой.

Скажешь о различие в этом промежутке ?? Корректировка вопросами , мягкий диалог. Допустим лично мне будет неприятно , если ты будешь общаться с парнем , даже другом , переступая порог.

Я любящий и чувственный человек , эмпатичный , который будет переживать и метаться. Поэтому тут нужно искать легкий компромисс вопросами , а не ругаться.

С парнями не дружат без общих компаний , ибо парни дружат за одним , такова их природа. Зачем тебе парни , когда у тебя есть интересный и приятный человек , лучшего рода ????

С которым ты можешь поговорить , разделить синергию и ментальный экстаз. Я не считаю себя скучным , и тебя не считаю пресной ни разу , ни сейчас , ни в прошлый раз.

Если я захочу получить женские эмоции , энергию , драйв ,

Я пообщаюсь с человеком , что у меня есть , с тобой поймаю этот кайффф

Мне для этого не нужен друг , не нужен суррогат со стороны.

У каждого человека свое мировозрение , свои триггеры и глубина тишины.. Кому-то что-то приятно , а кому-то совсем нет , у каждого свой ориентир. И если кого-то не устраивает правила другого , и он готов разрушить этот мир ,

И противовесом на весах он выставляет - этого человека vs Его правила и просьбы в споре , Дальше уже решает сам , заслуживает ли этот человек моих ограничений в общем наборе.

Лично для меня — я могу сделать абсолютно что угодно в плане твоих просьб , убрать любой дефект , Для меня тут нет границ , ведь в расчете тебя и какого-то дела , ты мой главный субъект !!

Ты мне намного важнее , твой комфорт для меня в приоритете всегда !!

Не значит что у тебя должно быть так , осуждать тебя я точно не буду , никогда и нигде , да-да - да !!

Вообщем закончу пункт на том — что адекватные люди , сами понимают что делать можно , а что бред. Какие-то подробные темы можно просто обсудить без истерик и ругани , не нанося друг другу вред ,

И если кому-то что-то сильно не нравится , делать вывод , включая ума трезвый свет.. Твой ли это человек , и стоит ли он твоих усилий , изменений и компромиссов в ответ.

Причинно следственная связь и рационализация. У любой измены , холода - есть причина , скрытый рычаг.

У любого страха - она тоже есть , как подсознательный внутренний враг.

Я стал спрашивать себя , почему я боюсь твоего ухода , откуда этот синдром. Пришел к ответу , что недостаточно хорош , что обесценивал себя , думая о плохом.

И вывод тут предельно прост , без лишней демагогии и драмы. Чтобы человек от тебя не уходил - тебе нужно быть лучшей версией себя , залечив все раны. Заполнить все важные аспекты жизни , эволюционировать каждый божий деньььь.  Сначала с выраженной эротманией и обссесией я правда не знал , что мне делать , впадая в тень , Без привычной химии мозга , как мне удержать человека , как я могу позволить расстаться с ним и страдать. А сейчас вот так.. Я готов осознанно этот процесс направлять и контролировать , а не просто гадать.

Боишься что она уйдет из-за нехватки денег ? Просто будь богаче всех тех , к кому она может уйти , обьективно.

Оценивая ее характер , внешность , внутренние качества , архитектонику личности перспективно ,

Какого мужчины бы она привлекла , и с каким финансовым диапозоном в судьбе. Боишься что уйдет из-за красоты — следи за собой , соответствуй ее красоте !!

Из-за характера и юмора - работай над собой , харизму свою развивай , Ведь когда-то она тебя за него и выбрала , этот ментальный фундамент не разрушай.

Если мужчина будет держать себя в тонусе , зачем женщине от него уходить к другому ? Если у меня будет шикарный дом , если я буду заботливым , нежным и смешным , верным слову родному ,

Не буду слишком податливым , сохраню внутренний стержень и мужества свет , Закрою физические и моральные аспекты , финансовые потребности на много лет..

Тебе будет со мной тепло , и ты будешь чувствовать себя в безопасности , в тишине - Зачем тебе уходить , зачем искать что-то на стороне ?

Есть только один аргумент - химия мозга , адаптация рецепторов и наши повадки. К всему привыкаешь , стираются грани , и будни становятся слишком гладки.

Даже к тому , о чем ты могла когда-то только мечтать , наступает плато.

Наступит момент , когда все что ты имеешь , покажется обычной вещью , как старое пальто !

Которое ожидало тебя и без меня , как само собой разумеющийся факт.

Ты захочешь чего-то нового , интересного , попробовать в жизни еще какой-то контракт. Тут я уже не роляю , это дело и работа только самого человека , его осознанный выбор. Можно уйти поддавшись импульсу , а можно обьективно оценить ситуацию , заглушив рецепторов выхлоп ,

И работать над собой , над своими рецепторами , сохраняя внутренний ценз. Не пьянеть от новизны , и честно сказать себе , имея экзистенциальный вес - Стоит ли это того , стоит ли новое тело того колоссального пути , что было пройдено вдвоем ,

Стоит ли 3-9 месяцев ярких эмоций того глубокого состояния стабильности , в котором мы живем.

Вообщем этот пункт - я назову рационализацией , созданием экосистемы вокруг. Создай условия , в которых от тебя не будет смысла уходить в поисках новых слуг ,

И если решишь уйти - долго и хорошо подумай , нужно ли оно тебе , взвесь этот шаг. С девочкой это работает точно также , если интересно , если ты ей не враг.

Если ты будешь меня любить , не будешь во всем отказывать , даря нежности свет , Удовлетворять мои желания будет ли у меня причина бросать тебя ? Очевидно , что нет !!

Думаю все это логично , причинно-следственная связь ясна , и с этим разобрались на раз-два. Якори безопасности. Это , наверное , лично моя собственная прихоть , философия и слова , Взамен на постоянную ревность , тотальный контроль и скандалы. Как я и сказал , я ценю время девушки , ее будущее и ментальные кварталы.

Если со мной что-то случиться , или меня поведет , и я каким-то образом изменю хотя это бред !! Если рассматривать все сценарии , то у нее будет повод от меня уйти , прервав наш обет.

Но возможно , вероятно , не будет материальной возможности , наступит тупик. Ведь жила на моем обеспечении , в моем доме , привыкла к роскоши , а тут крах в один миг ,

Отвыкла от быта , осталась ни с чем - это социально жестоко и не по-мужски. Я правда не против доказать свою верность личным делом , избавив от лишней тоски.

Открыть ей бизнес , может квартиру вместо этого , сделать финансовый щит , Чтобы если я действительно предам ее верность , ее доверие , пока она крепко спит ((

Если она при этом будет верна , добра и также любяще ко мне относится во всем - То конечно , будет честно отплатить ей материально и дать возможность уйти своим путем.

Я понимаю , что я никогда не изменю , по причине своего характера и селективных сексуальных предпочтений , Но говорить можно что угодно , слова эфемерны в потоке временных течений.

Почему бы просто не обезопасить ее материально , если ей так будет спокойнее и легче дышать. Этот пункт работает только с моей стороны , это моя философия , помогающая ревность разрушать.

В свою же очередь такой контракт должен быть очень правильно подписан , иметь весомый статус. Если женщина мне изменит , конечно же , такого не произойдет , поднимется предательства градус)

У меня есть честь и гордость , мужской кодекс , и как бы я ее сильно ни любил , Наградить ее за измену мне не позволит эго , я бы себя за это ментально убил )

Просто для меня это тоже как пунктик , железобетонный якорь оставаться со мной. Дополнительный триггер на всякий случай , чтобы это просто было , храня наш покой ,

И чтобы я каждый день не думал о том , стоит ли или не стоит ревновать тебя к тени. Ну и также правки. Девочка если захочет уйти , может не изменять , избегая измен и лени ,

Может нарошно вести себя отвратительно , чтобы парень сам предложил расстаться. Но , если это будет сопровождаться действительно хорошим отношением ко мне , желанием разобраться ,

И обычным разговором без предварительных измен и подлых девиаций в тиши , То я хорошо подумаю , как мне ей базово помочь в новой жизни , предоставив ресурсы от души ,

Чтобы она уверенно стояла на ногах и не вернулась на точку невозврата , в материальный ад. Закончу тем , Что я просто не верю что от такого меня можно будет уйти назад.

Если я буду той версией себя , о которой думаю , созидая наш личный эдем , Ну я бы на месте девочки просто не смог от таких условий и такого парня уйти , без лишних дилемм ))

Может это выглядит эгоистично , но это мое откровенное мнение , честное , взгляд изнутри. Я считаю - что 99.80% мужчин не готовы дать девушкам того , что хочу дать я , как ни крути.

Не готовы не только по причине нежелания , но и по причине отсутствия ресурсов и великодушия у них. Ревновать к мировым элитам я тебя точно не буду , этот страх в зародыше стих ,

Так как маловероятно , что ты их вообще встретишь на своем жизненном пути , А всех остальных - ну я считаю себя лучше них , зачем мне ревновать к неудачникам , господиии простиии 🙄

Такие вот мысли. Так что , мы не скандалим и не запрещаем ничего друг другу , храня наш союз.. Мы понимаем что можно , а что нет , по нашим ощущениям , не допуская измены укус ,

И по ощущениям партнера. Если что - откровенно поговорим , элиминируя недопонимания дым. 

Насчет дел. Сижу уже минут 40 это пишу.. Умоюсь , выпью водички , сделаю позавтракать себе сам. Мне правда неудобно гонять Леру , давать волю бытовым капризам и часам.

Хоть и деньги платят , ну блять , я хочу заботиться о девушке , проявлять благородство вовне , А не чтобы она заботилась обо мне , прислуживая в тишине. Такой я человекккк. Следит чтобы не курил - и на этом хватит , это её максимальный порог. Также мне немного неловко с факта.. Ну я сказал изначально , что не буду курить и заниматься сексом , дал зарок ,

Другие слова говорить не буду , они мне не нравятся блять , вызывают отторжение и спазм 🙄 Но я отказался исключительно от порно и травы , это мой осознанный ментальный оргазм !!

Мне просто реааально неловко , что ты пишешь горжууусьь на одноо блять и думаешь может о другооом в этот миггг , Ну пиздеец типо , будто я наебываюю тебя , создавая фальшивый и ложный лик.

Реально я не могу блять врать , мне плохо становится морально , начинается когнитивный диссонанс. Ну правда , мне и терапевт сказала избавиться исключительно от источников триггеров и фантазий , улучшая наш шанс , Негативных стимулов порноиндустрии , а не от самого физиологического занятия , как такового. Про физиологию там оббясняла эффект Кулиджа !! При котором сильно хочется из-за того что бросаю , паттерна старого ,

Еще возраст , высокое либидо , гормоны бурлят , нейробиология берет свое , ну корочее..

Так что 5 или 6 дней без порноконтента , а не тотального воздержания , если чтооооооо , блять нет рифм кроме курорта сочи !

Даже не знаюю зачем пишу об этом , просто неловко думать , что ты думаешь по-другому , в иллюзии живя , И будто я недоговарию тебе о чем-то в своей жизни или лгу , доверие губя.

Ладно про дела !! Щас начну разбираться в самом 1 проектееее , управлять процессами , а не кодом. Хочу его выпустить в релиз , и только в свободное время писать наш с тобоййй сайтт , занимаясь продуктовым уходом. А то реально как на работу хожу блин , каждый день сижу за ниммм , превращая хобби в рутину. Вот и очень очень постараюсь поговорить на том , что написал на английскомм , преодолевая языковую плотину.

Практикааа... А также книжку по философии одну хочу прочитать оченьь , углубить свой ментальный базис. Вообщем правда ты такое солнышкооо , мой личный экзистенциальный оазис.

Я утром тебя невероятно хочу комплиментами осыпать , зайкууу мою , дарить вдохновения свет , Мне очень приятно с тобой , и я хочу чтобы ты знала , что ты меня невероятно вдохновляешь в ответ !!

Каждый день своими словами , поддержкой , нежностью , теплотой общения и вообще всем своим видом !! Пишу пока в избранном крутится твой кружок с ногтями , эстетика бьет по глазам флюидом !!!

О нееееееееет я щас скажу лишнеегооо бляяятьььь , сорвусь в избыток эмоций и чувств.. Всееее Полиночка , я зайдууу как освобожусь , когда разгребу этот ворох искусствввв

Я понимаю как важно наше общения , но блять правда , я буду куда радостнее и счастливее в итоге , если ты будешь жить там где желаешь , обустроишь свой быт , не думая о тревоге ,

Встретишься с подружкой , заведешь собачку , бассейн , ааааааааа , это же идеальный расклад !! Так мне будет приятнее , и сделать для тебя смогу боллше , созидая наш личный клад.

Так что ничего страшного , что пожертвуем пару часов нашегоо общенияяя ради великих целей и дел. Доброе утро !!)) Как спалооосььь ??? Надеюсь сон твой был светел и бел !!

Покушааай пожалуйстаааа , наберись энергии для нового дняяя.

Вот и водички пей Поля , это реально важноооо для здоровья и для меняя..

Помни что ты умничка , и я в тебя всегда верю , я твой главный фанат !!

Не только я если что , там еще дюжина подружек , но не суть , вообщем целый парад !! 🙄",Grinch,25 мая 2026 г.,🥧,2,false,"[{""id"":1779682796369,""date"":""07:19"",""text"":""Такой ты мальчуганчик, интересный🤭. Мне понравилось читать, пиши побольшеее. Люблююю"",""author"":""Cindy""},{""id"":1779688325086,""date"":""10:52"",""text"":""ой.."",""author"":""Grinch""}]",2026-05-25 02:09:02.179922+00,"[""Cindy"",""Grinch""]"
